step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
474,CASH_IN,393851.81,C181906846,15332.0,409183.81,C1976076902,1028967.32,635115.51,0,0
133,CASH_IN,82512.74,C1033177365,4670885.4,4753398.14,C280905610,88993.63,6480.89,0,0
355,CASH_OUT,186989.64,C2095557679,21492.0,0.0,C534347764,0.0,186989.64,0,0
347,PAYMENT,8766.65,C616325886,273418.04,264651.39,M243248222,0.0,0.0,0,0
398,CASH_IN,90775.4,C1685153430,1901409.38,1992184.78,C410914194,360275.57,269500.17,0,0
22,CASH_OUT,133701.61,C1080389223,0.0,0.0,C1265428548,416179.99,549881.59,0,0
177,PAYMENT,12739.82,C1447829570,0.0,0.0,M757291082,0.0,0.0,0,0
327,TRANSFER,475614.23,C964317782,0.0,0.0,C111823549,3283998.32,3759612.56,0,0
378,CASH_OUT,400788.16,C1278759941,0.0,0.0,C317501516,694960.1,1095748.26,0,0
379,PAYMENT,6316.02,C544649161,19294.49,12978.47,M2043206982,0.0,0.0,0,0
377,PAYMENT,15773.64,C1139662933,0.0,0.0,M1975118011,0.0,0.0,0,0
305,CASH_IN,379176.13,C1712962871,59795.0,438971.13,C761940748,1018407.38,639231.25,0,0
492,PAYMENT,24453.07,C160663829,10950.0,0.0,M1755176525,0.0,0.0,0,0
35,CASH_OUT,308411.92,C1233334152,10761.38,0.0,C85862770,8537.0,223113.68,0,0
12,CASH_OUT,181428.81,C1982039685,49960.0,0.0,C1525639605,810363.82,1110549.21,0,0
393,CASH_IN,339152.6,C538458677,2087735.89,2426888.49,C1773034070,2594302.86,2255150.26,0,0
312,CASH_OUT,74098.29,C2021181749,0.0,0.0,C381290332,555879.82,629978.11,0,0
298,CASH_OUT,388140.83,C1276216439,73537.0,0.0,C146972944,5433.45,393574.28,0,0
233,PAYMENT,20824.56,C385131387,0.0,0.0,M706643670,0.0,0.0,0,0
163,CASH_OUT,364521.18,C351155914,48357.38,0.0,C144774527,477494.49,842015.67,0,0
204,CASH_OUT,202474.16,C1919501989,0.0,0.0,C468307186,5741484.66,5943958.82,0,0
10,CASH_OUT,144775.32,C1147453907,0.0,0.0,C257120108,1849604.81,2027712.76,0,0
397,CASH_OUT,48156.85,C590945397,0.0,0.0,C1100738226,75942.19,124099.04,0,0
398,CASH_OUT,96138.19,C1937518529,26777.0,0.0,C1418265074,185684.07,281822.27,0,0
137,PAYMENT,13522.26,C1896423363,77730.76,64208.5,M1763776917,0.0,0.0,0,0
308,CASH_IN,82432.36,C88844740,6565091.87,6647524.22,C1756210925,324110.06,241677.7,0,0
19,CASH_OUT,42183.44,C382044880,88588.0,46404.56,C140527109,0.0,196711.24,0,0
330,PAYMENT,4607.98,C1234239167,59544.0,54936.02,M1371328582,0.0,0.0,0,0
378,CASH_OUT,220270.39,C2035185106,4904.0,0.0,C1598980256,2924.9,223195.29,0,0
277,PAYMENT,1236.03,C1117125192,0.0,0.0,M51066848,0.0,0.0,0,0
14,CASH_OUT,585097.01,C889896352,0.0,0.0,C1722902384,2470511.62,3708085.68,0,0
321,CASH_IN,368239.37,C666359074,23450.0,391689.37,C1259664822,630380.25,262140.88,0,0
229,TRANSFER,1196764.16,C1954566854,142609.0,0.0,C1870801063,1850305.04,3047069.21,0,0
3,PAYMENT,534.45,C955875766,27745.94,27211.48,M977972728,0.0,0.0,0,0
544,PAYMENT,2891.79,C2006981758,219635.15,216743.36,M609881249,0.0,0.0,0,0
129,TRANSFER,4120446.2,C1730809686,22009.0,0.0,C1606615749,76903.67,4197349.87,0,0
256,PAYMENT,9381.55,C890363510,276010.8,266629.25,M1833813934,0.0,0.0,0,0
38,CASH_OUT,140201.58,C935600344,70034.3,0.0,C834379992,0.0,140201.58,0,0
479,CASH_OUT,28497.96,C1090690341,0.0,0.0,C457362587,240819.61,269317.57,0,0
16,CASH_OUT,133612.78,C241508863,0.0,0.0,C756514598,661629.73,548886.13,0,0
429,PAYMENT,7667.56,C1206434385,368134.0,360466.44,M2029210846,0.0,0.0,0,0
41,CASH_OUT,113829.4,C1108104378,0.0,0.0,C616179468,300710.66,414540.06,0,0
256,CASH_OUT,55757.63,C1013747729,0.0,0.0,C107218995,841102.32,896859.96,0,0
138,PAYMENT,5564.33,C333990808,117334.71,111770.38,M495291376,0.0,0.0,0,0
522,CASH_IN,118768.03,C1880023845,8810867.02,8929635.05,C444515946,1605215.94,1486447.92,0,0
331,CASH_OUT,76089.09,C579788036,0.0,0.0,C1438471335,394252.51,470341.59,0,0
349,PAYMENT,1950.23,C1019808441,10336.88,8386.65,M948263759,0.0,0.0,0,0
323,CASH_OUT,220130.88,C1270690711,162.0,0.0,C450540126,0.0,220130.88,0,0
13,CASH_IN,216245.82,C1796534073,1647230.19,1863476.01,C727141163,2096174.63,1879928.8,0,0
22,PAYMENT,10828.09,C1060073793,216420.0,205591.91,M741597022,0.0,0.0,0,0
661,CASH_IN,71094.53,C1554982210,3341409.64,3412504.16,C1717149131,531424.23,460329.71,0,0
275,PAYMENT,8782.65,C1919568203,277.0,0.0,M1776254536,0.0,0.0,0,0
329,CASH_OUT,107928.51,C1114738992,53028.0,0.0,C1126731950,137399.52,245328.03,0,0
300,CASH_OUT,418793.09,C1700410855,0.0,0.0,C1829927547,896151.88,1314944.97,0,0
16,PAYMENT,6218.52,C1747575200,468850.4,462631.88,M866677790,0.0,0.0,0,0
325,CASH_IN,182905.25,C926553168,140338.0,323243.25,C1683582202,2384716.36,2201811.11,0,0
185,CASH_IN,96976.66,C852109198,2508065.19,2605041.84,C306491343,125642.28,28665.63,0,0
274,PAYMENT,2611.95,C1185307024,0.0,0.0,M887062439,0.0,0.0,0,0
401,CASH_OUT,146649.41,C721216202,52823.0,0.0,C332758367,1201180.9,1347830.32,0,0
189,PAYMENT,9751.31,C2110354306,212319.52,202568.2,M1791976460,0.0,0.0,0,0
354,TRANSFER,283259.06,C1590705557,0.0,0.0,C947716623,294568.91,577827.97,0,0
236,CASH_OUT,164336.99,C698070458,0.0,0.0,C1540522223,474575.92,638912.91,0,0
401,PAYMENT,67315.18,C1471180025,31721.0,0.0,M135986109,0.0,0.0,0,0
